Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,,Planning Time - zooming,Planning Time non_zooming,,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
86,1,6.84,6.96,1.0175438596,4.07,4.24,1.0417690418,0.33,1,3,2,11,C,0.36,1,3,2,11,C
87,1,5.86,5.99,1.0221843003,3.83,3.98,1.0391644909,0.36,1,2,2,5,C,0.35,1,2,2,5,C
88,1,5.71,5.91,1.0350262697,3.67,3.91,1.0653950954,0.36,1,2,2,5,C,0.35,1,2,2,5,C
89,1,7.9,7.94,1.0050632911,4.88,4.99,1.0225409836,0.37,1,3,3,7,C,0.33,1,3,3,7,C
90,1,7.97,8.39,1.0526976161,4.66,5.08,1.0901287554,0.35,1,3,3,9,C,0.35,1,3,3,9,C
91,1,8.3,8.34,1.0048192771,4.91,5,1.0183299389,0.38,1,3,3,9,C,0.35,1,3,3,9,C
92,1,8.14,8.34,1.0245700246,4.8,5.01,1.04375,0.36,1,3,3,9,C,0.36,1,3,3,9,C
93,1,9.32,9.54,1.0236051502,5.16,5.36,1.0387596899,0.41,1,4,3,15,C,0.38,1,4,3,15,C
94,1,6.46,6.73,1.0417956656,4.06,4.35,1.0714285714,0.34,1,3,2,9,C,0.37,1,3,2,9,C
95,1,8.09,8.45,1.044499382,4.72,5.14,1.0889830508,0.37,1,3,3,9,C,0.34,1,3,3,9,C
96,1,7.67,7.97,1.0391134289,4.73,5,1.0570824524,0.36,1,3,3,7,C,0.35,1,3,3,7,C
97,1,7.85,8.01,1.0203821656,4.9,5,1.0204081633,0.36,1,3,3,7,C,0.36,1,3,3,7,C
98,1,6.14,6.3,1.0260586319,3.75,3.91,1.0426666667,0.32,1,2,2,7,C,0.34,1,2,2,7,C
99,1,8.79,9.1,1.0352673493,5.06,5.4,1.0671936759,0.36,1,4,3,13,C,0.35,1,4,3,13,C
100,1,9.17,9.48,1.0338058888,5.13,5.42,1.0565302144,0.39,1,4,3,15,C,0.36,1,4,3,15,C
101,1,6.56,6.69,1.0198170732,4.18,4.29,1.0263157895,0.38,1,3,2,9,C,0.36,1,3,2,9,C
102,1,6.41,6.68,1.0421216849,4.07,4.31,1.058968059,0.33,1,3,2,9,C,0.36,1,3,2,9,C
103,1,6.48,6.61,1.0200617284,4.08,4.23,1.0367647059,0.37,1,3,2,9,C,0.38,1,3,2,9,C
